timestamp,open,high,low,close,vol_btc,vol_aud,weighted_price,,
30/8/13,145,145,145,145,0.54,78.24,145,,
31/8/13,145,145,145,145,2,290,145,,
1/9/13,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity,,
2/9/13,140,140,139,139,1.1,153.9,139.91,,
3/9/13,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity,,
4/9/13,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity,,
5/9/13,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity,,
6/9/13,128,128,128,128,0.2,25.6,128,,
7/9/13,128,140,128,140,18.12,2530.38,139.67,,
8/9/13,140,142,140,140,53.5,7519.68,140.56,,
9/9/13,140,144,140,144,35.38,5092.64,143.96,,
10/9/13,145,145,145,145,10.83,1570.35,145,,
11/9/13,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity,,
12/9/13,145,145,100,140,0.57,81.35,143.85,,
13/9/13,141,145,141,145,0.45,64.13,144.1,,
14/9/13,145,149,145,149,13.71,2018.19,147.2,,
15/9/13,149,150,149,150,1.62,241.48,149.09,,
16/9/13,148,150,148,150,20,2960.09,148,,
17/9/13,150,153,150,153,5.32,810.97,152.3,,
18/9/13,153,153,153,153,0.77,117.31,153,,
19/9/13,155,178,155,178,7.25,1178,162.48,,
20/9/13,178,178,175,175,3.88,679.43,175.27,,
21/9/13,175,193,175,186,41.32,7652.37,185.18,,
22/9/13,187,215,185,215,54.71,11401.26,208.39,,
23/9/13,217,257,185,213,183.16,43763.24,238.93,,
24/9/13,188,207,188,200,3.99,794.94,199.28,,
25/9/13,203,210,203,210,5.95,1211.79,203.83,,
26/9/13,210,210,210,210,1.33,279.98,210,,
27/9/13,210,219,210,219,7.74,1659.28,214.38,,
28/9/13,219,221,219,221,2.35,517.37,220.16,,
29/9/13,227,229,220,220,5,1129.17,225.81,,
30/9/13,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity,,
1/10/13,218,218,218,218,6.14,1337.95,218,,
2/10/13,218,218,218,218,1.86,406.05,218,,
3/10/13,229,229,229,229,2.1,480.9,229,,
4/10/13,229,236,218.1,236,28.99,6683.13,230.56,,
5/10/13,236,240,231,240,32.3,7562.8,234.14,,
6/10/13,244,254,244,254,19.5,4859,249.18,,
7/10/13,257,320,257,320,49.63,14555.95,293.27,,
8/10/13,320,353,320,353,62.98,21220.4,336.96,,
9/10/13,353,400,353,381,17.25,6503.51,376.97,,
10/10/13,353,353,300,300,0.15,52.6,343.98,,
11/10/13,350,381,350,381,4.06,1466.14,361.38,,
12/10/13,381,381,381,381,20.19,7692.06,381,,
13/10/13,381,424,381,424,98.36,40573.19,412.49,,
14/10/13,424,485,424,480,22.83,10887.26,476.84,,
15/10/13,485,500,460,460,14.82,7203.28,486.21,,
16/10/13,460.1,500,460.1,500,12.67,6245.95,493.15,,
17/10/13,500,509,500,509,30.77,15453.46,502.19,,
18/10/13,509,689,509,689,89.12,55267.39,620.11,,
19/10/13,689,897,650,833,45.61,36603.39,802.51,,
20/10/13,681,810,622,810,13.22,9152.13,692.56,,
21/10/13,810,854,710,849,9.83,8117.68,825.93,,
22/10/13,849,880,750,880,13.21,11344.35,859.03,,
23/10/13,892,950,892,893,21.17,19246.59,909.1,,
24/10/13,893,893,853.08,865,6.88,6013.74,874.25,,
25/10/13,865,926,865,905,15.42,13830.36,896.87,,
26/10/13,911,1000,909,1000,52.15,49587.03,950.94,,
27/10/13,1045,1157,1040,1157,47.74,53076.59,1111.67,,
28/10/13,1165,1300,1150,1300,39.78,46566.7,1170.72,,
29/10/13,1300,1337,1150,1337,27.75,35268.51,1270.78,,
30/10/13,1337,1345,1300,1340,8.12,10822.51,1332.66,,
31/10/13,1301,1345,1050,1345,6.76,7863.73,1163.11,,
1/11/13,1345,1345,1250,1250,3.82,5094.84,1332.58,,
2/11/13,1190,1320,1190,1310,16.55,21181.7,1279.68,,
3/11/13,1290,1320,1201,1320,21.32,27792.34,1303.54,,
4/11/13,1300,1345,1000.0011,1000.0034,30.43,33942.9,1115.37,,
5/11/13,1050,1200,1000.0023,1000.0023,10.33,11768.89,1139.26,,
6/11/13,1000.001,1000.001,690,750,30.61,26073.55,851.93,,
7/11/13,850,850,841,841,8.14,6857.67,842.26,,
8/11/13,894.99,1000,894.99,972,16.09,15392.55,956.47,,
9/11/13,1079.99,1150,1079.99,1150,8.26,9049.72,1096.16,,
10/11/13,1150,1180,1049,1049,6.62,7537.67,1138.47,,
11/11/13,1100,1100,1100,1100,2.45,2695,1100,,
12/11/13,1095,1100,1095,1100,1.32,1449.21,1098.71,,
13/11/13,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity,,
14/11/13,1098,1100,1000,1000,1.42,1468.62,1032,,
15/11/13,1050,1120,840,880,8.64,9097.97,1052.95,,
16/11/13,841,841,700.01,810,31.71,24950.75,786.88,,
17/11/13,811,978,501,525,25.21,16764.57,664.95,,
18/11/13,530,975,530,786,3.02,1794.35,594.43,,
19/11/13,785,800,680,780,13.29,10212.65,768.23,,
20/11/13,777,785,700,700,1.52,1125.14,741,,
21/11/13,727.25,797,727.25,797,2.66,2020.58,760.27,,
22/11/13,740,790,720,760,14.16,10903,770.08,,
23/11/13,760,796,760,765,11.07,8595.95,776.24,,
24/11/13,765,813,750,750,18.39,13970.82,759.77,,
25/11/13,790,855,790,825,7.24,5849.83,807.7,,
26/11/13,825,825,790,825,5.75,4745.91,824.76,,
27/11/13,825,825,825,825,1.97,1623.44,825,,
28/11/13,850,850,825,840,3.8,3136.37,825.42,,
29/11/13,800,845,800,845,5.71,4766.36,835.21,,
30/11/13,845,855,750,795.56,10.26,8118.93,791.2,,
1/12/13,795.56,795.56,795.56,795.56,1.9,1514.73,795.56,,
2/12/13,795.56,850,795.56,849,3.55,2841.85,800.13,,
3/12/13,850,950,850,950,2.3,2109.92,915.73,,
4/12/13,949,960,949,955,3.97,3783.5,952.32,,
5/12/13,958,1059,949,1059,11.79,11462.58,972.59,,
6/12/13,1059,1089,1059,1089,6.98,7571.76,1085.08,,
7/12/13,1089,1089,900,970,1.54,1534.68,994.41,,
8/12/13,900,915,900,915,1.89,1707.78,904.21,,
9/12/13,968.46,1000,933,989.73,2.24,2145.02,958.53,,
10/12/13,950,950,950,950,2.69,2559.3,950,,
11/12/13,950,950,950,950,0.18,167.87,950,,
12/12/13,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity,,
13/12/13,950,950,914,950,10.66,9783.71,917.96,,
14/12/13,950,1000,950,950,3.85,3665.81,952.69,,
15/12/13,950,1096,950,980,8.01,8021.35,1001.56,,
16/12/13,980,980,970,970,2.37,2314.09,975.34,,
17/12/13,970,1010,970,999,2.43,2443.17,1004.01,,
18/12/13,996.57,996.57,985,986,6.6,6502.97,986,,
19/12/13,950,960,950,960,0.62,592.96,955.38,,
