Date,LTCBTC,Volume
14/4/14,0.02520,380707
15/4/14,0.02541,396937
16/4/14,0.02526,419259
17/4/14,0.02569,371571
18/4/14,0.02540,206589
19/4/14,0.02579,229848
20/4/14,0.02547,184798
21/4/14,0.02538,133287
22/4/14,0.02516,72275
23/4/14,0.02508,65351
24/4/14,0.02547,138703
25/4/14,0.02412,333230
26/4/14,0.02346,127744
27/4/14,0.02301,69058
28/4/14,0.02330,130780
29/4/14,0.02365,130835
30/4/14,0.02475,265124
1/5/14,0.02460,105484
2/5/14,0.02409,84942
3/5/14,0.02372,74996
4/5/14,0.02381,53062
5/5/14,0.02390,38567
6/5/14,0.02426,132138
7/5/14,0.02419,96613
8/5/14,0.02412,91945
10/5/14,0.02406,49157
11/5/14,0.02393,60155
12/5/14,0.02380,43772
13/5/14,0.02376,23480
14/5/14,0.02369,27163
15/5/14,0.02360,30765
16/5/14,0.02335,33567
17/5/14,0.02333,11410
18/5/14,0.02332,8444
19/5/14,0.02329,10963
20/5/14,0.02226,49984
21/5/14,0.02177,35827
22/5/14,0.02057,41272
23/5/14,0.02152,122077
24/5/14,0.02142,38211
25/5/14,0.02029,94986
26/5/14,0.01984,58510
27/5/14,0.01968,47396
28/5/14,0.01928,28818
29/5/14,0.01922,19575
30/5/14,0.01838,53018
31/5/14,0.01768,31076
1/6/14,0.01746,71936
2/6/14,0.01754,54608
3/6/14,0.01734,32577
4/6/14,0.01723,35981
5/6/14,0.01724,31773
6/6/14,0.01722,16741
7/6/14,0.01711,12533
8/6/14,0.01722,15092
9/6/14,0.01735,10771
10/6/14,0.01706,12509
11/6/14,0.01724,10708
12/6/14,0.01726,22013
13/6/14,0.01699,19675
14/6/14,0.01720,17658
15/6/14,0.01707,17947
16/6/14,0.01630,20280
17/6/14,0.01585,13576
18/6/14,0.01605,9699
19/6/14,0.01691,26026
20/6/14,0.01658,18165
21/6/14,0.01654,15385
22/6/14,0.01628,14675
23/6/14,0.01642,11756
24/6/14,0.01640,12700
25/6/14,0.01625,18728
26/6/14,0.01573,21273
27/6/14,0.01555,21726
28/6/14,0.01538,14338
29/6/14,0.01497,12095
1/7/14,0.01325,20326
2/7/14,0.01268,79724
3/7/14,0.01253,22507
4/7/14,0.01168,16542
5/7/14,0.01172,76841
6/7/14,0.01120,46904
7/7/14,0.01215,85378
8/7/14,0.01230,62885
9/7/14,0.01247,63272
10/7/14,0.01259,34241
11/7/14,0.01248,42932
12/7/14,0.01386,97772
13/7/14,0.01438,99039
14/7/14,0.01402,67923
15/7/14,0.01400,28912
16/7/14,0.01364,42729
17/7/14,0.01393,47593
18/7/14,0.01408,2691
19/7/14,0.01407,1964
20/7/14,0.01382,2220
21/7/14,0.01389,2234
22/7/14,0.01389,1088
23/7/14,0.01372,1534
24/7/14,0.01330,5388
25/7/14,0.01265,5399
26/7/14,0.01279,1893
27/7/14,0.01312,2751
28/7/14,0.01296,2805
29/7/14,0.01310,1567
30/7/14,0.01294,2714
31/7/14,0.01293,5101
2/8/14,0.01303,3020
4/8/14,0.01268,1750
6/8/14,0.01235,1974
7/8/14,0.01225,5438
8/8/14,0.01196,2476
9/8/14,0.01178,3883
10/8/14,0.01180,1182
11/8/14,0.01066,6777
12/8/14,0.00994,10441
13/8/14,0.00916,12444
14/8/14,0.00998,9940
15/8/14,0.01017,4131
16/8/14,0.00967,2999
17/8/14,0.00910,6081
18/8/14,0.00819,15972
19/8/14,0.00942,17389
20/8/14,0.01087,20628
21/8/14,0.01105,17727
22/8/14,0.01028,12951
23/8/14,0.00969,6768
24/8/14,0.01073,14283
25/8/14,0.01042,7240
26/8/14,0.01081,9121
27/8/14,0.01054,12929
28/8/14,0.01031,6984
29/8/14,0.01056,4634
30/8/14,0.01031,3934
31/8/14,0.01017,11864
1/9/14,0.01024,3594
2/9/14,0.01016,7551
3/9/14,0.01026,3148
4/9/14,0.01072,7009
5/9/14,0.01032,4217
6/9/14,0.01030,3215
7/9/14,0.01068,4612
8/9/14,0.01063,6675
10/9/14,0.01070,4510
4/10/14,0.01186,17977
16/10/14,0.01054,11226
18/10/14,0.01046,6021
19/10/14,0.01029,4224
20/10/14,0.01028,5001
21/10/14,0.01026,5210
22/10/14,0.01013,5709
23/10/14,0.01045,7308
24/10/14,0.01052,8909
25/10/14,0.01054,6101
26/10/14,0.01053,5035
27/10/14,0.01079,6502
28/10/14,0.01090,5723
29/10/14,0.01107,5610
30/10/14,0.01099,7263
31/10/14,0.01111,5536
1/11/14,0.01107,6688
2/11/14,0.01109,5721
3/11/14,0.01104,5630
4/11/14,0.01099,6518
5/11/14,0.01077,7782
6/11/14,0.01049,6153
7/11/14,0.01047,4034
8/11/14,0.01100,0
9/11/14,0.01013,437
13/11/14,0.00987,4752
14/11/14,0.01002,16719
15/11/14,0.01026,9795
16/11/14,0.01005,7014
17/11/14,0.01002,9238
18/11/14,0.00999,10864
19/11/14,0.01004,7179
20/11/14,0.01008,9300
21/11/14,0.00996,9735
22/11/14,0.00994,5877
23/11/14,0.00978,4207
24/11/14,0.00955,8191
25/11/14,0.00949,7742
26/11/14,0.00968,7089
27/11/14,0.00965,4513
28/11/14,0.00953,5041
29/11/14,0.00949,6360
30/11/14,0.00944,3294
1/12/14,0.00938,3519
2/12/14,0.00951,5723
3/12/14,0.00958,4629
4/12/14,0.00963,6447
5/12/14,0.00956,5979
6/12/14,0.00962,4405
7/12/14,0.00992,5428
8/12/14,0.01007,6590
9/12/14,0.00996,10974
10/12/14,0.01005,6090
11/12/14,0.00992,9087
12/12/14,0.00986,5726
13/12/14,0.00996,6555
14/12/14,0.00993,4516
15/12/14,0.00999,6483
16/12/14,0.00920,16607
17/12/14,0.00925,13225
18/12/14,0.00902,14504
19/12/14,0.00904,8830
20/12/14,0.00892,8475
21/12/14,0.00885,6986
22/12/14,0.00872,8523
23/12/14,0.00859,6159
24/12/14,0.00844,6404
25/12/14,0.00849,5451
26/12/14,0.00847,6367
27/12/14,0.00861,6601
28/12/14,0.00859,5644
29/12/14,0.00861,4332
30/12/14,0.00875,5227
31/12/14,0.00864,4171
1/1/15,0.00859,3213
2/1/15,0.00849,2783
3/1/15,0.00759,18931
4/1/15,0.00741,15646
5/1/15,0.00764,13072
6/1/15,0.00753,9442
8/1/15,0.00712,10421
9/1/15,0.00693,7517
10/1/15,0.00606,11954
11/1/15,0.00657,11388
12/1/15,0.00642,7560
13/1/15,0.00707,18756
14/1/15,0.00665,28165
15/1/15,0.00618,19055
16/1/15,0.00674,14240
17/1/15,0.00662,8601
18/1/15,0.00639,8119
19/1/15,0.00629,3616
20/1/15,0.00633,5344
21/1/15,0.00606,5159
22/1/15,0.00612,7658
23/1/15,0.00618,5221
24/1/15,0.00752,17294
25/1/15,0.00893,36679
26/1/15,0.00784,34688
27/1/15,0.00797,15509
28/1/15,0.00802,12566
29/1/15,0.00831,10136
30/1/15,0.00835,7468
31/1/15,0.00856,4966
1/2/15,0.00809,12457
2/2/15,0.00782,7164
3/2/15,0.00807,11324
4/2/15,0.00800,6410
5/2/15,0.00803,4635
6/2/15,0.00807,7649
7/2/15,0.00795,6503
8/2/15,0.00800,3730
9/2/15,0.00789,2980
10/2/15,0.00801,2711
11/2/15,0.00790,1198
12/2/15,0.00796,5188
13/2/15,0.00774,12744
14/2/15,0.00740,12079
15/2/15,0.00782,16987
16/2/15,0.00754,7948
17/2/15,0.00767,6968
18/2/15,0.00774,6476
19/2/15,0.00770,4654
20/2/15,0.00757,6130
21/2/15,0.00757,4293
22/2/15,0.00759,6027
23/2/15,0.00758,5434
24/2/15,0.00762,4371
25/2/15,0.00759,3423
26/2/15,0.00761,3846
27/2/15,0.00760,7641
28/2/15,0.00758,4105
1/3/15,0.00731,4683
2/3/15,0.00729,7560
3/3/15,0.00698,8229
4/3/15,0.00715,7263
5/3/15,0.00705,6324
6/3/15,0.00708,5899
7/3/15,0.00695,3560
8/3/15,0.00680,3557
9/3/15,0.00690,6331
10/3/15,0.00689,10236
11/3/15,0.00684,44
12/3/15,0.00693,2223
13/3/15,0.00698,5722
14/3/15,0.00705,6168
15/3/15,0.00707,3880
16/3/15,0.00698,4844
17/3/15,0.00695,5144
18/3/15,0.00695,11248
19/3/15,0.00681,13148
20/3/15,0.00679,4288
21/3/15,0.00673,4452
22/3/15,0.00667,3706
23/3/15,0.00668,4889
24/3/15,0.00676,8463
25/3/15,0.00682,9321
26/3/15,0.00684,6519
27/3/15,0.00681,4759
28/3/15,0.00673,3652
29/3/15,0.00683,5151
30/3/15,0.00678,6492
31/3/15,0.00675,4690
1/4/15,0.00674,5269
2/4/15,0.00669,5194
3/4/15,0.00666,4655
4/4/15,0.00665,3179
5/4/15,0.00658,3504
6/4/15,0.00655,4755
7/4/15,0.00657,4060
8/4/15,0.00661,5646
9/4/15,0.00651,5204
10/4/15,0.00644,5892
11/4/15,0.00622,4861
12/4/15,0.00621,3575
13/4/15,0.00621,4575
14/4/15,0.00625,7175
15/4/15,0.00614,6320
16/4/15,0.00618,5115
17/4/15,0.00634,5165
18/4/15,0.00629,3220
19/4/15,0.00626,4198
20/4/15,0.00627,3997
21/4/15,0.00613,4321
22/4/15,0.00619,5172
23/4/15,0.00616,3212
24/4/15,0.00615,4433
25/4/15,0.00617,3533
26/4/15,0.00607,5947
27/4/15,0.00603,5113
28/4/15,0.00605,5188
29/4/15,0.00608,5463
30/4/15,0.00610,6654
1/5/15,0.00604,4648
2/5/15,0.00607,3162
3/5/15,0.00597,5743
4/5/15,0.00590,5069
5/5/15,0.00598,4694
6/5/15,0.00601,3448
7/5/15,0.00611,6017
8/5/15,0.00604,5267
9/5/15,0.00598,5308
10/5/15,0.00599,3763
11/5/15,0.00595,3280
12/5/15,0.00596,2825
13/5/15,0.00607,4912
14/5/15,0.00610,4522
15/5/15,0.00612,2795
16/5/15,0.00616,3323
17/5/15,0.00615,1668
18/5/15,0.00618,2217
19/5/15,0.00623,2090
20/5/15,0.00623,3419
21/5/15,0.00626,4052
22/5/15,0.00740,14903
23/5/15,0.00612,4932
24/5/15,0.00749,3839
25/5/15,0.00754,3705
26/5/15,0.00611,3726
27/5/15,0.00611,4209
28/5/15,0.00613,3177
29/5/15,0.00613,3467
30/5/15,0.00613,3335
31/5/15,0.00614,4217
1/6/15,0.00715,5125
2/6/15,0.00613,4354
3/6/15,0.00612,3744
4/6/15,0.00740,2960
5/6/15,0.00764,3302
6/6/15,0.00780,3302
7/6/15,0.00776,3377
9/6/15,0.00790,235
10/6/15,0.00713,0
11/6/15,0.00779,1446
12/6/15,0.00784,3391
13/6/15,0.00800,4743
14/6/15,0.00853,10489
16/6/15,0.01019,25897
17/6/15,0.01159,38224
18/6/15,0.01237,27269
20/6/15,0.01226,19465
21/6/15,0.01220,8560
22/6/15,0.01220,8967
24/6/15,0.01177,10522
25/6/15,0.01174,11945
26/6/15,0.01174,6074
27/6/15,0.01229,12742
28/6/15,0.01232,8877
29/6/15,0.01455,20790
30/6/15,0.01530,28278
1/7/15,0.01540,12211
2/7/15,0.01586,10207
3/7/15,0.01624,5236
4/7/15,0.01590,4298
5/7/15,0.01700,13659
6/7/15,0.02078,37214
7/7/15,0.02005,19035
8/7/15,0.02261,32859
9/7/15,0.02966,61041
10/7/15,0.01476,67202
11/7/15,0.01483,33649
12/7/15,0.01706,29051
13/7/15,0.01614,18827
14/7/15,0.01626,9270
15/7/15,0.01475,6425
16/7/15,0.01307,20898
17/7/15,0.01384,12888
18/7/15,0.01429,10047
19/7/15,0.01379,5099
20/7/15,0.01368,5449
21/7/15,0.01376,5324
22/7/15,0.01386,3459
23/7/15,0.01369,6990
24/7/15,0.01573,23417
25/7/15,0.01625,20606
26/7/15,0.01601,13364
27/7/15,0.01594,14517
29/7/15,0.01669,24301
30/7/15,0.01610,19422
31/7/15,0.01625,16404
1/8/15,0.01491,22466
2/8/15,0.01465,14020
3/8/15,0.01540,19619
4/8/15,0.01538,13398
5/8/15,0.01540,11306
6/8/15,0.01463,15765
7/8/15,0.01500,18215
8/8/15,0.01506,14281
9/8/15,0.01471,11809
10/8/15,0.01493,7207
11/8/15,0.01515,11314
12/8/15,0.01501,10835
13/8/15,0.01463,9853
14/8/15,0.01520,13187
15/8/15,0.01514,9468
16/8/15,0.01533,13866
17/8/15,0.01546,13780
18/8/15,0.01544,11302
19/8/15,0.01527,18302
20/8/15,0.01537,11184
21/8/15,0.01534,15315
22/8/15,0.01526,9426
23/8/15,0.01501,12676
24/8/15,0.01428,24163
25/8/15,0.01374,38358
26/8/15,0.01319,16304
27/8/15,0.01305,8860
28/8/15,0.01266,14096
29/8/15,0.01253,5034
30/8/15,0.01238,9245
31/8/15,0.01234,11390
1/9/15,0.01236,6072
2/9/15,0.01230,26544
3/9/15,0.01157,26462
4/9/15,0.01177,8468
5/9/15,0.01242,18621
6/9/15,0.01276,43717
7/9/15,0.01267,17183
8/9/15,0.01254,29748
9/9/15,0.01236,24515
10/9/15,0.01232,10675
11/9/15,0.01230,7847
12/9/15,0.01215,11484
13/9/15,0.01220,7669
14/9/15,0.01235,6875
15/9/15,0.01224,3769
16/9/15,0.01213,7718
17/9/15,0.01254,16155
18/9/15,0.01271,13961
19/9/15,0.01239,7170
20/9/15,0.01229,5403
21/9/15,0.01233,6001
22/9/15,0.01231,10249
23/9/15,0.01235,3296
24/9/15,0.01247,6635
25/9/15,0.01230,5585
26/9/15,0.01224,3022
27/9/15,0.01227,1746
28/9/15,0.01261,15209
29/9/15,0.01275,24891
30/9/15,0.01276,10055
1/10/15,0.01271,7015
2/10/15,0.01257,5192
3/10/15,0.01266,4926
4/10/15,0.01258,3555
5/10/15,0.01256,7621
6/10/15,0.01263,12726
7/10/15,0.01262,10286
8/10/15,0.01261,11616
9/10/15,0.01273,26625
10/10/15,0.01269,28457
11/10/15,0.01275,33318
13/10/15,0.01267,37493
14/10/15,0.01242,35815
15/10/15,0.01216,38512
16/10/15,0.01181,38035
17/10/15,0.01137,51800
18/10/15,0.01145,26016
19/10/15,0.01158,29543
20/10/15,0.01141,26455
21/10/15,0.01151,20468
22/10/15,0.01133,32582
23/10/15,0.01125,28377
24/10/15,0.01104,21820
25/10/15,0.01077,36198
26/10/15,0.01093,24219
27/10/15,0.01045,25186
28/10/15,0.01023,27444
29/10/15,0.01200,136416
30/10/15,0.01205,166427
31/10/15,0.01166,57949
1/11/15,0.01158,38975
2/11/15,0.01162,13419
3/11/15,0.01133,113071
4/11/15,0.01014,233116
5/11/15,0.00984,171153
6/11/15,0.00939,105338
7/11/15,0.00921,26214
8/11/15,0.00920,24180
9/11/15,0.00889,54274
10/11/15,0.00924,69733
