Date,LTCBTC,open,high,low,close,vol_btc,vol_aud,weighted_price
14/4/14,0.02520,475,489,475,484.99,5.17,2495.14,482.58
15/4/14,0.02541,487,487,482,484,10.62,5140.15,484.01
16/4/14,0.02526,484,487.99,482,482,8.81,4278.31,485.36
17/4/14,0.02569,486,486,480,480,6.39,3091.29,483.94
18/4/14,0.02540,480,484.5,471.08,475,20.75,9905.5,477.45
19/4/14,0.02579,474,530,471.07,530,54.14,26459.8,488.72
20/4/14,0.02547,516,550.4,497.99,520,34.5,18393.83,533.22
21/4/14,0.02538,550.38,598.5,515,586.68,39.19,22135.91,564.8
22/4/14,0.02516,598.5,669.9,580.5,585,49.26,29701.54,602.92
23/4/14,0.02508,580,600,575.1,575.1,6.06,3522.35,581.32
24/4/14,0.02547,593,630,593,630,11.27,6960.31,617.57
25/4/14,0.02412,612,654.6,612,642.44,16.28,10312.45,633.41
26/4/14,0.02346,643.61,660,607,613,55.04,34534.93,627.42
27/4/14,0.02301,640,653.9,616.01,620.01,20.2,12831.22,635.27
28/4/14,0.02330,621.29,669.9,609,620,20.8,13191.26,634.27
29/4/14,0.02365,635.02,685,610.01,685,38.15,25252.85,661.96
30/4/14,0.02475,684,700,661.11,679,19.36,13240.16,684.03
1/5/14,0.02460,679,720,675,690,33.4,23441.88,701.91
2/5/14,0.02409,703.5,773.9,661,701.9,63.33,44999.73,710.56
3/5/14,0.02372,725,779.9,700.5,721.2,55.29,40368.16,730.06
4/5/14,0.02381,717.1,765,695,707,43.42,30993.2,713.78
5/5/14,0.02390,718.57,765,705,726,53.27,38830.01,728.92
6/5/14,0.02426,726,749.99,705.1,725.9,22.01,15964.33,725.28
7/5/14,0.02419,723.02,725,709,715,9.64,6912.66,716.84
8/5/14,0.02412,711,712,708,708,6.7,4763.28,710.63
10/5/14,0.02406,711,711.01,700,711.01,8.26,5805.47,702.55
11/5/14,0.02393,709,739,700,711,40.64,29104.92,716.2
12/5/14,0.02380,727,727,685,685,25.14,17754.81,706.18
13/5/14,0.02376,685,717,610,642.64,38.82,26135.73,673.3
14/5/14,0.02369,620,671.28,608.83,609.91,30.11,19553.4,649.33
15/5/14,0.02360,620.12,645.09,597.54,605,17.26,10721.78,621.19
16/5/14,0.02335,595.52,646.69,595.52,646.69,7.56,4583.08,606.18
17/5/14,0.02333,656.8,700,621.56,643.14,19.75,12947.76,655.57
18/5/14,0.02332,644.4,655,630,654.5,9.8,6330.98,646.02
19/5/14,0.02329,654.5,670.58,644.65,655,17.85,11854.11,664.2
20/5/14,0.02226,660,700,655.09,658.07,22.97,15335.05,667.48
21/5/14,0.02177,651.2,680,630,658.99,20.25,13252.11,654.37
22/5/14,0.02057,656.37,656.37,626,627,13.64,8750.18,641.5
23/5/14,0.02152,626,662,626,657.83,9.56,6283.72,657.16
24/5/14,0.02142,649.57,659,629.52,646.96,11.31,7272.09,642.78
25/5/14,0.02029,646.65,661,627,641.32,35.58,22830.43,641.71
26/5/14,0.01984,627.1,634.29,612,615.07,40.69,25466.39,625.89
27/5/14,0.01968,645.1,645.1,611.35,624.5,24.68,15340.25,621.53
28/5/14,0.01928,624.5,633,411,632.5,57.97,34168.43,589.38
29/5/14,0.01922,625,650,590,627.01,15.9,9817.35,617.58
30/5/14,0.01838,630,650,625,625,8.67,5470.67,631
31/5/14,0.01768,625,700,625,680,33.87,22413.69,661.79
1/6/14,0.01746,680,701.53,667.27,690,41.23,28514.12,691.53
2/6/14,0.01754,694.99,700,678,700,24.45,16874.55,690.15
3/6/14,0.01734,695,710.1,686,699.99,32.55,22833.03,701.55
4/6/14,0.01723,699.99,706,681.5,703.71,21.1,14703.04,696.84
5/6/14,0.01724,684,701.8,681.5,683.6,11.16,7719.94,691.81
6/6/14,0.01722,683.6,700,676.1,676.1,2.48,1692.97,683.17
7/6/14,0.01711,698.99,698.99,674.9,674.9,14.76,10089.71,683.52
8/6/14,0.01722,689.99,690,670.11,671.1,14.32,9805.86,684.99
9/6/14,0.01735,688.02,688.87,671.22,683,9.99,6836.93,684.17
10/6/14,0.01706,671.31,683.6,661.1,661.1,28.01,18831.14,672.22
11/6/14,0.01724,661.1,681.5,661.06,680,5.31,3552.7,669.09
12/6/14,0.01726,670,680.9,665.05,680,8.7,5849.28,672.01
13/6/14,0.01699,676,680,665.1,665.1,6.57,4417.38,672.41
14/6/14,0.01720,678,701,665.39,680,25.37,17424.81,686.78
